Iteration;O1Time;O2Power;O3Energy;O4Area;velmax;veloverride;acclimit;ramplimit;dr;dz;InBanaWOdr;InBanaWOrz;InBanaWOdrz;UtBanaWOdr;UtBanaWOrz;UtBanaWOdrz;OP1WOdr;OP1WOrz;OP1WOdrz;OP2WOdr;OP2WOrz;OP2WOdrz;OP3WOdr;OP3WOrz;OP3WOdrz;Time;Power;Energy;Area;Error;Replications;ConstraintViolation
50133;131.136;731.8581543;21266.88086;54.35496288;240;99;16;96;0.331595619;-0.296442406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131.136;731.8581543;21266.88086;54.35496288;0;1;0
50135;71.256;2460.140625;24796.07617;54.35496288;716;100;34;98;0.235394172;-0.262477135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71.256;2460.140625;24796.07617;54.35496288;0;1;0
50136;70.296;2816.456787;24880.63477;54.35496288;716;100;45;93;0.235394172;-0.297703658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70.296;2816.456787;24880.63477;54.35496288;0;1;0
50137;82.8;1446.137695;22980.64844;54.35496288;494;97;23;99;0.332757598;-0.293076855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82.8;1446.137695;22980.64844;54.35496288;0;1;0
50141;72.144;2494.848145;24395.48438;54.35496288;674;99;43;97;0.303415065;-0.289238522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72.144;2494.848145;24395.48438;54.35496288;0;1;0
50142;68.136;2992.509766;26071.58594;54.35496288;850;100;36;100;0.203685081;-0.188128274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68.136;2992.509766;26071.58594;54.35496288;0;1;0
50145;94.272;1091.605225;22232.17773;54.35496288;393;100;11;96;0.361217324;-0.285152019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94.272;1091.605225;22232.17773;54.35496288;0;1;0
50146;133.416;673.2331543;21451.32422;54.35496288;248;99;12;25;0.364087424;-0.299818981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133.416;673.2331543;21451.32422;54.35496288;0;1;0
50147;132.816;664.9644775;21505.12109;54.35496288;248;100;12;25;0.364087424;-0.278183843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132.816;664.9644775;21505.12109;54.35496288;0;1;0
50148;146.86;597.5872803;21375.36914;54.35496288;219;99;12;20;0.364087424;-0.299818981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146.86;597.5872803;21375.36914;54.35496288;0;1;0
50149;67.104;3915.072021;25661.58398;54.35496288;797;100;100;99;0.321953517;-0.285931541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67.104;3915.072021;25661.58398;54.35496288;0;1;0
50150;66.336;3655.19458;26327.2207;54.35496288;931;100;43;99;0.226541424;-0.26123418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.336;3655.19458;26327.2207;54.35496288;0;1;0
50151;151.5;647.8577271;21193.31641;54.35496288;201;98;11;51;0.331604806;-0.285735378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151.5;647.8577271;21193.31641;54.35496288;0;1;0
50154;150;639.8308716;21201.87305;54.35496288;201;99;16;96;0.347183588;-0.286081507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;639.8308716;21201.87305;54.35496288;0;1;0
50158;105.912;887.1889648;21764.61523;54.35496288;325;100;11;98;0.350583251;-0.284706318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105.912;887.1889648;21764.61523;54.35496288;0;1;0
50159;78.408;2085.410889;23295.95117;54.35496288;495;100;60;93;0.329117398;-0.292455544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.408;2085.410889;23295.95117;54.35496288;0;1;0
50160;63.648;4940.54834;27264.94922;54.35496288;978;100;99;97;0.224371071;-0.286708772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63.648;4940.54834;27264.94922;54.35496288;0;1;0
50161;64.056;4788.141602;27146.17578;54.35496288;981;100;80;93;0.235343367;-0.297703658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64.056;4788.141602;27146.17578;54.35496288;0;1;0
50162;73.56;2044.807373;24433.10742;54.35496288;672;100;27;99;0.226541424;-0.26123418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73.56;2044.807373;24433.10742;54.35496288;0;1;0
50166;63.744;4825.250977;27181.10156;54.35496288;977;100;99;97;0.233464447;-0.2891739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63.744;4825.250977;27181.10156;54.35496288;0;1;0
50167;63.528;4761.407227;27306.80664;54.35496288;977;100;99;99;0.233464447;-0.244762971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63.528;4761.407227;27306.80664;54.35496288;0;1;0
50169;81.192;1496.816162;23040.04297;54.35496288;494;100;26;100;0.332757598;-0.293076855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81.192;1496.816162;23040.04297;54.35496288;0;1;0
50170;79.68;1508.408325;23491.94922;54.35496288;551;100;11;99;0.286213159;-0.244782866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79.68;1508.408325;23491.94922;54.35496288;0;1;0
50172;63.384;5020.718262;27408.71289;54.35496288;986;100;99;100;0.233464447;-0.244762971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63.384;5020.718262;27408.71289;54.35496288;0;1;0
50180;70.152;2787.102539;24898.33398;54.35496288;716;100;45;98;0.235394172;-0.297703658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70.152;2787.102539;24898.33398;54.35496288;0;1;0
50183;63.816;4243.689941;29528.44727;54.35496288;998;100;51;99;0.000305244;-0.044169636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63.816;4243.689941;29528.44727;54.35496288;0;1;0
50184;111.72;843.9441528;21601.84766;54.35496288;305;92;17;99;0.33579408;-0.297588201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111.72;843.9441528;21601.84766;54.35496288;0;1;0
